"","AN_RECENS","DEP_RES_21","AGE_GROUP","TYP_ACT","CSP","test"
"260",1968,"04","45-59",2,3,4
"261",1968,"04","45-59",2,4,12
"262",1968,"04","45-59",2,5,32
"263",1968,"04","45-59",2,6,112
"264",1968,"04","45-59",5,8,1096
"265",1968,"04","45-59",6,9,5704
"266",1968,"04","60-74",1,1,1736
"267",1968,"04","60-74",1,2,788
"268",1968,"04","60-74",1,3,104
"269",1968,"04","60-74",1,4,248
"270",1968,"04","60-74",1,5,344
"271",1968,"04","60-74",1,6,624
"272",1968,"04","60-74",2,4,4
"273",1968,"04","60-74",2,5,8
"274",1968,"04","60-74",2,6,20
"275",1968,"04","60-74",5,8,6708
"276",1968,"04","60-74",6,9,5316
"277",1968,"04","75 and more",1,1,136
"278",1968,"04","75 and more",1,2,28
"279",1968,"04","75 and more",1,3,8
"280",1968,"04","75 and more",1,4,16
"281",1968,"04","75 and more",1,5,12
"282",1968,"04","75 and more",1,6,8
"283",1968,"04","75 and more",5,8,3064
"284",1968,"04","75 and more",6,9,1992
"285",1968,"04","<15",1,1,4
"286",1968,"04","<15",1,6,28
"287",1968,"04","<15",3,9,1344
"288",1968,"04","<15",6,9,24188
"289",1968,"04",NA,1,1,28
"290",1968,"04",NA,1,2,12
"291",1968,"04",NA,1,4,4
"292",1968,"04",NA,5,8,396
"293",1968,"04",NA,6,9,240
"294",1968,"05","15-29",1,1,1032
"295",1968,"05","15-29",1,2,724
"296",1968,"05","15-29",1,3,368
"297",1968,"05","15-29",1,4,1348
"298",1968,"05","15-29",1,5,2980
"299",1968,"05","15-29",1,6,3796
"300",1968,"05","15-29",2,3,4
"301",1968,"05","15-29",2,4,24
"302",1968,"05","15-29",2,5,52
"303",1968,"05","15-29",2,6,160
"304",1968,"05","15-29",2,9,36
"305",1968,"05","15-29",3,9,4816
"306",1968,"05","15-29",4,9,448
"307",1968,"05","15-29",6,9,3092
"308",1968,"05","30-44",1,1,2424
"309",1968,"05","30-44",1,2,1584
"310",1968,"05","30-44",1,3,720
"311",1968,"05","30-44",1,4,1520
"312",1968,"05","30-44",1,5,2352
"313",1968,"05","30-44",1,6,3472
"314",1968,"05","30-44",2,4,20
"315",1968,"05","30-44",2,5,20
"316",1968,"05","30-44",2,6,76
"317",1968,"05","30-44",2,9,4
"318",1968,"05","30-44",3,9,4
"319",1968,"05","30-44",6,9,5608
"320",1968,"05","45-59",1,1,2920
"321",1968,"05","45-59",1,2,1592
"322",1968,"05","45-59",1,3,440
"323",1968,"05","45-59",1,4,1040
"324",1968,"05","45-59",1,5,1708
"325",1968,"05","45-59",1,6,2384
"326",1968,"05","45-59",2,3,4
"327",1968,"05","45-59",2,4,12
"328",1968,"05","45-59",2,5,24
"329",1968,"05","45-59",2,6,60
"330",1968,"05","45-59",2,9,4
"331",1968,"05","45-59",5,8,836
"332",1968,"05","45-59",6,9,5024
"333",1968,"05","60-74",1,1,2076
"334",1968,"05","60-74",1,2,724
"335",1968,"05","60-74",1,3,88
"336",1968,"05","60-74",1,4,152
"337",1968,"05","60-74",1,5,332
"338",1968,"05","60-74",1,6,408
"339",1968,"05","60-74",2,4,4
"340",1968,"05","60-74",2,5,8
"341",1968,"05","60-74",2,6,16
"342",1968,"05","60-74",5,8,5192
"343",1968,"05","60-74",6,9,3800
"344",1968,"05","75 and more",1,1,228
"345",1968,"05","75 and more",1,2,52
"346",1968,"05","75 and more",1,4,64
"347",1968,"05","75 and more",1,5,4
"348",1968,"05","75 and more",1,6,4
"349",1968,"05","75 and more",5,8,2532
"350",1968,"05","75 and more",6,9,1368
"351",1968,"05","<15",1,1,4
"352",1968,"05","<15",1,2,4
"353",1968,"05","<15",1,6,20
"354",1968,"05","<15",3,9,1224
"355",1968,"05","<15",6,9,20536
"356",1968,"05",NA,1,1,56
"357",1968,"05",NA,1,2,12
"358",1968,"05",NA,5,8,272
"359",1968,"05",NA,6,9,192
"360",1968,"06","15-29",1,1,1508
"361",1968,"06","15-29",1,2,5220
"362",1968,"06","15-29",1,3,2456
"363",1968,"06","15-29",1,4,8144
"364",1968,"06","15-29",1,5,24700
"365",1968,"06","15-29",1,6,30888
"366",1968,"06","15-29",2,3,72
"367",1968,"06","15-29",2,4,412
"368",1968,"06","15-29",2,5,1840
"369",1968,"06","15-29",2,6,2500
"370",1968,"06","15-29",2,9,496
"371",1968,"06","15-29",3,9,33460
"372",1968,"06","15-29",4,9,2668
"373",1968,"06","15-29",6,9,22640
"374",1968,"06","30-44",1,1,3108
"375",1968,"06","30-44",1,2,15232
"376",1968,"06","30-44",1,3,6736
"377",1968,"06","30-44",1,4,11408
"378",1968,"06","30-44",1,5,23136
"379",1968,"06","30-44",1,6,31968
"380",1968,"06","30-44",2,3,136
"381",1968,"06","30-44",2,4,368
"382",1968,"06","30-44",2,5,1328
"383",1968,"06","30-44",2,6,1864
"384",1968,"06","30-44",2,9,56
"385",1968,"06","30-44",3,9,188
"386",1968,"06","30-44",4,9,4
"387",1968,"06","30-44",6,9,44252
