DEP_RES_21,Tranche d'age,AN_RECENS,CSP,TYP_ACT,POND
09,45-59,1968,2,1,2100
09,15-29,1968,3,1,236
09,45-59,1968,8,5,1940
09,less than 15,1968,9,3,1488
09,15-29,1968,6,2,168
09,15-29,1968,5,2,132
09,15-29,1968,4,2,36
09,30-44,1968,9,3,28
09,30-44,1968,5,2,32
09,30-44,1968,6,2,76
09,30-44,1968,3,2,4
09,45-59,1968,5,2,20
09,45-59,1968,9,2,4
09,45-59,1968,6,2,80
09,60-74,1968,4,2,4
09,60-74,1968,6,2,24
09,60-74,1968,5,2,4
09,less than 15,1968,6,1,44
09,less than 15,1968,5,1,8
09,less than 15,1968,1,1,12
09,60-74,1968,6,1,964
09,60-74,1968,2,1,988
09,60-74,1968,4,1,264
09,60-74,1968,5,1,408
09,60-74,1968,3,1,104
09,75 more,1968,5,1,16
09,75 more,1968,1,1,484
09,75 more,1968,6,1,8
09,75 more,1968,2,1,104
09,75 more,1968,3,1,16
09,75 more,1968,4,1,12
09,30-44,1968,4,2,12
09,45-59,1968,4,2,8
09,15-29,1968,3,2,4
09,30-44,1968,9,2,4
10,less than 15,1968,9,6,66144
10,15-29,1968,9,3,9036
10,15-29,1968,9,6,6896
10,30-44,1968,9,6,12680
10,45-59,1968,9,6,8460
10,45-59,1968,8,5,2860
10,60-74,1968,8,5,19976
10,75 more,1968,8,5,9808
10,75 more,1968,9,6,3536
10,60-74,1968,9,6,7204
10,15-29,1968,4,1,4208
10,15-29,1968,6,1,22976
10,15-29,1968,5,1,9488
10,15-29,1968,1,1,2312
10,30-44,1968,2,1,3576
10,30-44,1968,6,1,16700
10,30-44,1968,5,1,6796
10,30-44,1968,4,1,4668
10,45-59,1968,4,1,2972
10,60-74,1968,2,1,1540
10,60-74,1968,6,1,3820
10,less than 15,1968,9,3,3388
10,15-29,1968,9,4,1424
10,30-44,1968,6,2,224
10,15-29,1968,3,1,568
10,30-44,1968,1,1,4420
10,45-59,1968,6,1,11908
10,15-29,1968,2,1,1260
10,30-44,1968,3,1,1668
10,45-59,1968,1,1,4200
10,45-59,1968,5,1,5120
10,45-59,1968,2,1,3244
10,45-59,1968,3,1,1132
10,60-74,1968,4,1,716
10,60-74,1968,1,1,2340
10,60-74,1968,5,1,1556
10,15-29,1968,6,2,316
10,60-74,1968,3,1,320
10,30-44,1968,9,3,44
10,45-59,1968,6,2,212
10,15-29,1968,9,2,56
10,15-29,1968,5,2,144
10,15-29,1968,3,2,4
10,15-29,1968,4,2,20
10,30-44,1968,5,2,40
10,30-44,1968,4,2,32
10,45-59,1968,5,2,48
10,45-59,1968,4,2,20
10,60-74,1968,6,2,68
10,75 more,1968,3,2,4
10,30-44,1968,3,2,4
10,less than 15,1968,6,1,216
10,less than 15,1968,1,1,28
10,less than 15,1968,5,1,36
10,less than 15,1968,2,1,4
10,75 more,1968,1,1,152
10,75 more,1968,2,1,152
10,75 more,1968,3,1,12
10,75 more,1968,6,1,32
10,75 more,1968,5,1,36
10,75 more,1968,4,1,60
10,30-44,1968,9,4,4
10,45-59,1968,3,2,4
10,60-74,1968,5,2,12
10,45-59,1968,9,3,4
11,less than 15,1968,9,6,55200
11,less than 15,1968,9,3,3092
11,60-74,1968,9,6,17468
11,15-29,1968,9,3,14184
11,45-59,1968,9,6,19072
11,45-59,1968,8,5,2660
11,60-74,1968,8,5,19556
11,75 more,1968,9,6,7700
11,15-29,1968,1,1,1676
11,15-29,1968,4,1,2712
11,30-44,1968,5,1,5460
11,30-44,1968,6,1,12592
11,45-59,1968,6,1,10064
11,45-59,1968,4,1,2568
11,45-59,1968,5,1,4304
11,60-74,1968,3,1,280
11,30-44,1968,3,1,1464
11,15-29,1968,6,1,10844
11,15-29,1968,5,1,6124
11,15-29,1968,3,1,472
11,15-29,1968,9,4,1160
11,30-44,1968,9,6,20012
11,75 more,1968,8,5,10580
11,30-44,1968,4,1,3288
11,45-59,1968,3,1,1192
11,60-74,1968,1,1,4416
11,60-74,1968,2,1,2108
11,45-59,1968,2,1,3888
11,30-44,1968,2,1,3880
11,15-29,1968,9,6,9696
11,60-74,1968,5,1,996
11,15-29,1968,2,1,1536
11,60-74,1968,4,1,512
11,15-29,1968,5,2,448
11,60-74,1968,6,1,2944
11,75 more,1968,4,1,128
11,45-59,1968,1,1,5624
11,30-44,1968,9,3,72
11,45-59,1968,6,2,204
11,30-44,1968,1,1,4136
11,75 more,1968,1,1,596
11,75 more,1968,5,1,36
11,75 more,1968,2,1,216
11,15-29,1968,6,2,416
11,30-44,1968,5,2,152
11,15-29,1968,9,2,152
11,15-29,1968,4,2,76
11,30-44,1968,6,2,172
11,45-59,1968,5,2,44
11,45-59,1968,4,2,40
11,45-59,1968,9,3,4
11,60-74,1968,6,2,68
11,60-74,1968,5,2,16
11,15-29,1968,3,2,12
11,30-44,1968,4,2,12
11,less than 15,1968,1,1,20
11,less than 15,1968,5,1,24
11,less than 15,1968,6,1,108
11,less than 15,1968,2,1,12
11,75 more,1968,6,1,56
11,75 more,1968,3,1,24
11,30-44,1968,3,2,4
12,less than 15,1968,9,6,59652
12,15-29,1968,6,2,240
12,15-29,1968,9,6,8784
12,30-44,1968,9,6,16940
12,60-74,1968,8,5,18956
12,75 more,1968,8,5,9644
12,30-44,1968,2,1,4128
12,15-29,1968,5,1,5616
12,30-44,1968,6,1,10504
12,45-59,1968,1,1,11568
12,45-59,1968,3,1,888
12,45-59,1968,5,1,3364
12,30-44,1968,5,1,4432
12,15-29,1968,6,1,10168
12,45-59,1968,9,6,16196
12,less than 15,1968,9,3,3476
12,15-29,1968,9,3,15008
12,60-74,1968,9,6,14260
12,45-59,1968,8,5,3028
12,60-74,1968,4,1,740
12,15-29,1968,4,1,3024
12,30-44,1968,1,1,11292
12,45-59,1968,4,1,2564
12,45-59,1968,6,1,7664
12,75 more,1968,9,6,6588
12,30-44,1968,4,1,3320
12,45-59,1968,2,1,4464
12,60-74,1968,1,1,7764
12,15-29,1968,1,1,6084
12,30-44,1968,5,2,36
12,15-29,1968,2,1,1580
12,30-44,1968,3,1,1176
12,60-74,1968,6,1,1696
12,15-29,1968,3,1,468
12,60-74,1968,2,1,2020
12,60-74,1968,3,1,248
12,15-29,1968,9,4,1292
12,less than 15,1968,9,2,4
12,15-29,1968,9,2,220
12,15-29,1968,5,2,156
12,15-29,1968,4,2,48
12,30-44,1968,6,2,112
12,30-44,1968,9,3,40
12,30-44,1968,9,2,12
12,45-59,1968,6,2,160
12,45-59,1968,5,2,36
12,60-74,1968,5,2,12
12,60-74,1968,6,2,28
12,45-59,1968,9,3,4
12,less than 15,1968,1,1,48
12,less than 15,1968,6,1,44
12,less than 15,1968,5,1,12
12,60-74,1968,5,1,688
12,75 more,1968,4,1,120
12,75 more,1968,1,1,772
12,75 more,1968,6,1,40
12,75 more,1968,2,1,156
12,75 more,1968,5,1,44
12,75 more,1968,3,1,16
12,15-29,1968,3,2,4
12,45-59,1968,4,2,8
12,45-59,1968,3,2,4
12,60-74,1968,4,2,4
13,less than 15,1968,9,6,329636
13,less than 15,1968,9,3,17504
13,15-29,1968,9,4,6872
13,15-29,1968,9,6,57040
13,15-29,1968,6,2,7396
13,30-44,1968,9,6,106412
13,45-59,1968,9,6,87232
13,75 more,1968,8,5,34444
13,15-29,1968,9,3,88084
13,15-29,1968,9,2,1804
13,15-29,1968,5,2,3636
13,30-44,1968,6,2,5144
13,30-44,1968,5,2,1700
13,45-59,1968,4,2,512
13,45-59,1968,6,2,4496
13,45-59,1968,8,5,16308
13,60-74,1968,8,5,84624
13,60-74,1968,9,6,66808
13,60-74,1968,5,2,388
13,75 more,1968,9,6,28048
13,15-29,1968,5,1,50152
13,15-29,1968,2,1,7012
13,15-29,1968,3,1,5812
13,30-44,1968,4,1,28212
13,30-44,1968,5,1,46228
13,30-44,1968,3,1,14488
13,15-29,1968,6,1,66316
